species;ebird_code_def;observation_sum;observation_cnt
Parus major;gretit1;1351.0;729
Fringilla coelebs;comcha;3835.0;575
Dryocopus martius;blawoo1;493.0;452
Buteo buteo;combuz1;548.0;434
Sitta europaea;eurnut2;559.0;427
Dendrocopos major;grswoo;483.0;383
Lanius excubitor;norshr1;344.0;336
Emberiza citrinella;yellow2;670.0;331
Turdus merula;eurbla;503.0;321
Alauda arvensis;skylar;784.0;282
Turdus philomelos;sonthr1;513.0;282
Cyanistes caeruleus;blutit;682.0;280
Lanius collurio;rebshr1;432.0;267
Coturnix coturnix;comqua1;328.0;244
Saxicola rubicola;stonec4;366.0;227
Lophophanes cristatus;cretit2;392.0;218
Anthus trivialis;trepip;300.0;212
Anthus pratensis;meapip1;611.0;208
Erithacus rubecula;eurrob1;247.0;200
Columba palumbus;cowpig1;1391.0;193
Phylloscopus collybita;comchi1;213.0;172
Ficedula parva;rebfly;162.0;162
Aegithalos caudatus;lottit1;534.0;159
Certhia brachydactyla;shttre1;207.0;152
Turdus viscivorus;misthr1;238.0;147
Garrulus glandarius;eurjay1;230.0;143
Sturnus vulgaris;eursta;3927.0;121
Falco tinnunculus;eurkes;139.0;118
Troglodytes troglodytes;winwre4;138.0;118
Corvus corax;comrav;345.0;110
Muscicapa striata;spofly1;120.0;96
Linaria cannabina;eurlin1;250.0;89
Cuculus canorus;comcuc;110.0;88
Regulus regulus;goldcr1;393.0;87
Passer domesticus;houspa;403.0;84
Corvus corone;carcro1;141.0;82
Lullula arborea;woolar1;109.0;82
Hirundo rustica;barswa;564.0;81
Motacilla alba;whiwag;124.0;80
Apus apus;comswi;561.0;78
Ardea cinerea;graher1;75.0;66
Carduelis carduelis;eurgol;213.0;64
Pyrrhula pyrrhula;eurbul;110.0;63
Sylvia atricapilla;blackc1;87.0;61
Anser anser;gragoo;812.0;58
Caprimulgus europaeus;eurnig1;112.0;53
Ficedula hypoleuca;eupfly1;52.0;49
Aquila chrysaetos;goleag;42.0;42
Spinus spinus;eursis;473.0;41
Phoenicurus phoenicurus;comred2;41.0;40
Columba oenas;stodov1;236.0;39
Alopochen aegyptiaca;egygoo;70.0;37
Sylvia borin;garwar1;41.0;36
Anas platyrhynchos;mallar3;111.0;35
Falco subbuteo;eurhob;41.0;35
Aix galericulata;manduc;94.0;32
Fringilla montifringilla;brambl;362.0;31
Lyrurus tetrix;blagro1;74.0;28
Pernis apivorus;euhbuz1;34.0;28
Loxia pytyopsittacus;parcro2;116.0;27
