frame,time,class,probability
0,0:00:00,blutit,0.080793596804142
1,0:00:05,gretit1,0.42998969554901123
2,0:00:10,comchi1,0.1463085412979126
3,0:00:15,gretit1,0.3538207411766052
4,0:00:20,gretit1,0.46757110953330994
5,0:00:25,eurrob1,0.14608310163021088
6,0:00:30,blutit,0.11507966369390488
7,0:00:35,gretit1,0.2539965808391571
8,0:00:40,gretit1,0.5536343455314636
9,0:00:45,gretit1,0.32292547821998596
10,0:00:50,gretit1,0.2862420082092285
11,0:00:55,gretit1,0.16606482863426208
12,0:01:00,lottit1,0.08348377794027328
13,0:01:05,gretit1,0.18539544939994812
14,0:01:10,eurnut2,0.24347494542598724
15,0:01:15,eurnut2,0.3286876380443573
16,0:01:20,martit2,0.2136194407939911
17,0:01:25,eurnut2,0.3036332130432129
18,0:01:30,martit2,0.464118629693985
19,0:01:35,eurnut2,0.18046310544013977
20,0:01:40,blutit,0.16079078614711761
21,0:01:45,blutit,0.09058482199907303
22,0:01:50,gretit1,0.16394947469234467
23,0:01:55,shttre1,0.08677532523870468
24,0:02:00,gockin,0.231926828622818
25,0:02:05,blutit,0.7582811713218689
26,0:02:10,blutit,0.23080234229564667
27,0:02:15,eurrob1,0.2040690928697586
28,0:02:20,gockin,0.10444019734859467
29,0:02:25,lottit1,0.2264752835035324
30,0:02:30,lottit1,0.086531862616539
31,0:02:35,blutit,0.302739679813385
32,0:02:40,blutit,0.17171348631381989
33,0:02:45,eurnut2,0.14841420948505402
34,0:02:50,blutit,0.18310873210430145
35,0:02:55,blutit,0.14712047576904297
36,0:03:00,eurrob1,0.14064563810825348
37,0:03:05,blutit,0.11405028402805328
38,0:03:10,comrav,0.08660929650068283
39,0:03:15,blutit,0.35227978229522705
40,0:03:20,blutit,0.4013780355453491
41,0:03:25,martit2,0.14307555556297302
42,0:03:30,eurtre1,0.0635339617729187
43,0:03:35,rinphe,0.08643726259469986
44,0:03:40,coatit2,0.0592101514339447
45,0:03:45,hoopoe,0.020193735137581825
46,0:03:50,whwcro,0.05764779821038246
47,0:03:55,whoswa,0.07688704878091812
48,0:04:00,whoswa,0.10092194378376007
49,0:04:05,redcro,0.12879164516925812
50,0:04:10,mutswa,0.37597647309303284
51,0:04:15,blutit,0.18816938996315002
52,0:04:20,eurtre1,0.10135193169116974
53,0:04:25,mallar3,0.060626957565546036
54,0:04:30,lottit1,0.21562695503234863
55,0:04:35,eurrob1,0.05970752239227295
56,0:04:40,tawowl1,0.1942865550518036
57,0:04:45,shttre1,0.1856873780488968
58,0:04:50,brncre,0.09634332358837128
59,0:04:55,gretit1,0.14631666243076324
60,0:05:00,blawoo1,0.08913879096508026
61,0:05:05,martit2,0.1046425998210907
62,0:05:10,gretit1,0.2132456749677658
63,0:05:15,blutit,0.6098694801330566
64,0:05:20,lottit1,0.12292666733264923
65,0:05:25,blutit,0.24695125222206116
66,0:05:30,gockin,0.15028472244739532
67,0:05:35,eurrob1,0.09022237360477448
68,0:05:40,martit2,0.2555973529815674
69,0:05:45,eurrob1,0.22743672132492065
70,0:05:50,martit2,0.17648355662822723
71,0:05:55,martit2,0.48455923795700073
72,0:06:00,blutit,0.2223484069108963
73,0:06:05,blutit,0.10884390026330948
74,0:06:10,eurrob1,0.29207509756088257
75,0:06:15,eurrob1,0.17812003195285797
76,0:06:20,eurrob1,0.08749503642320633
77,0:06:25,eurnut2,0.08931218087673187
78,0:06:30,eurrob1,0.2334272563457489
79,0:06:35,eurrob1,0.36668461561203003
80,0:06:40,slcant2,0.3208189010620117
81,0:06:45,eurnut2,0.10502488166093826
82,0:06:50,gretit1,0.11939544975757599
83,0:06:55,gretit1,0.14122909307479858
84,0:07:00,lottit1,0.10759492218494415
