frame,time,class,probability,probability_rank
0,0:00:00,watrai1,0.09563722461462021,1
0,0:00:00,loeowl,0.05056513473391533,2
0,0:00:00,rinphe,0.03309271112084389,3
0,0:00:00,norsho,0.030903536826372147,4
0,0:00:00,eurcoo,0.02809702418744564,5
1,0:00:05,gretit1,0.06872517615556717,1
1,0:00:05,eurcoo,0.05944481119513512,2
1,0:00:05,watrai1,0.05167838931083679,3
1,0:00:05,blrwar1,0.04801644757390022,4
1,0:00:05,grswoo,0.029427899047732353,5
2,0:00:10,commoo3,0.21016620099544525,1
2,0:00:10,jacsni,0.10258977115154266,2
2,0:00:10,gragoo,0.07465428113937378,3
2,0:00:10,comeid,0.046740055084228516,4
2,0:00:10,norsho,0.03253766894340515,5
3,0:00:15,commoo3,0.3023892939090729,1
3,0:00:15,norsho,0.13819824159145355,2
3,0:00:15,eurcoo,0.07785922288894653,3
3,0:00:15,comqua1,0.03953075408935547,4
3,0:00:15,watrai1,0.027155399322509766,5
4,0:00:20,eurcoo,0.07895293831825256,1
4,0:00:20,rinphe,0.054627444595098495,2
4,0:00:20,commoo3,0.02806076779961586,3
4,0:00:20,tawowl1,0.02554851770401001,4
4,0:00:20,ortbun1,0.02409273199737072,5
5,0:00:25,tawowl1,0.07274546474218369,1
5,0:00:25,commoo3,0.048866111785173416,2
5,0:00:25,eurcoo,0.038279175758361816,3
5,0:00:25,eueowl1,0.028255201876163483,4
5,0:00:25,watrai1,0.027946259826421738,5
6,0:00:30,rinphe,0.05854754522442818,1
6,0:00:30,dunlin,0.03264165297150612,2
6,0:00:30,eursis,0.030861832201480865,3
6,0:00:30,tawowl1,0.02875008061528206,4
6,0:00:30,eurrob1,0.028183406218886375,5
7,0:00:35,eursis,0.08399071544408798,1
7,0:00:35,gretit1,0.04620848596096039,2
7,0:00:35,spofly1,0.04513886570930481,3
7,0:00:35,eurrob1,0.03595893830060959,4
7,0:00:35,dunnoc1,0.02028331719338894,5
8,0:00:40,wilpta,0.0608145147562027,1
8,0:00:40,comrav,0.03997822850942612,2
8,0:00:40,rinphe,0.03662180155515671,3
8,0:00:40,kineid,0.033683259040117264,4
8,0:00:40,grecor,0.029872089624404907,5
9,0:00:45,tawowl1,0.09242786467075348,1
9,0:00:45,commoo3,0.0724395364522934,2
9,0:00:45,eueowl1,0.05406076833605766,3
9,0:00:45,watrai1,0.04288144037127495,4
9,0:00:45,eurcoo,0.04138569161295891,5
10,0:00:50,watrai1,0.08588525652885437,1
10,0:00:50,rinphe,0.05410497263073921,2
10,0:00:50,tawowl1,0.04004181548953056,3
10,0:00:50,commoo3,0.024662518873810768,4
10,0:00:50,eueowl1,0.023999378085136414,5
11,0:00:55,eueowl1,0.0953788310289383,1
11,0:00:55,tawowl1,0.061927154660224915,2
11,0:00:55,commoo3,0.04743145778775215,3
11,0:00:55,loeowl,0.02606290951371193,4
11,0:00:55,watrai1,0.024981705471873283,5
12,0:01:00,tawowl1,0.12127049267292023,1
12,0:01:00,eueowl1,0.05283348262310028,2
12,0:01:00,loeowl,0.04262265935540199,3
12,0:01:00,eurcoo,0.040520429611206055,4
12,0:01:00,commoo3,0.035392336547374725,5
13,0:01:05,lirplo,0.07650861144065857,1
13,0:01:05,watrai1,0.04280160367488861,2
13,0:01:05,tawowl1,0.03819375857710838,3
13,0:01:05,euroys1,0.03072972036898136,4
13,0:01:05,dunlin,0.030537094920873642,5
