frame,time,class,probability
0,0:00:00,martit2,0.36693838238716125
1,0:00:05,gretit1,0.26684606075286865
2,0:00:10,blutit,0.4327754080295563
3,0:00:15,shttre1,0.111287422478199
4,0:00:20,blutit,0.6345779895782471
5,0:00:25,blutit,0.5988224148750305
6,0:00:30,blutit,0.3700149655342102
7,0:00:35,gretit1,0.10863076895475388
8,0:00:40,blutit,0.5759360790252686
9,0:00:45,blutit,0.28800448775291443
10,0:00:50,gretit1,0.11260935664176941
11,0:00:55,blutit,0.562473714351654
12,0:01:00,blutit,0.787911057472229
13,0:01:05,lottit1,0.12995198369026184
14,0:01:10,blutit,0.7850345969200134
15,0:01:15,blutit,0.12623222172260284
16,0:01:20,blutit,0.5516465902328491
17,0:01:25,coatit2,0.1657944619655609
18,0:01:30,shttre1,0.5945865511894226
19,0:01:35,blutit,0.553699791431427
20,0:01:40,gretit1,0.43286997079849243
21,0:01:45,martit2,0.3026711344718933
22,0:01:50,cretit2,0.16137439012527466
23,0:01:55,blutit,0.11445749551057816
24,0:02:00,eurtre1,0.26355764269828796
25,0:02:05,blutit,0.18520185351371765
26,0:02:10,eurrob1,0.07722346484661102
27,0:02:15,gretit1,0.4345671534538269
28,0:02:20,lottit1,0.12127422541379929
29,0:02:25,martit2,0.43289294838905334
30,0:02:30,blutit,0.2991828918457031
31,0:02:35,eurrob1,0.5177432298660278
32,0:02:40,eurrob1,0.301230788230896
33,0:02:45,eurrob1,0.15922269225120544
34,0:02:50,gretit1,0.21008165180683136
35,0:02:55,eurrob1,0.5936785936355591
36,0:03:00,eurrob1,0.7713450193405151
37,0:03:05,eurrob1,0.36854255199432373
38,0:03:10,eurrob1,0.8288521766662598
39,0:03:15,martit2,0.9985539317131042
40,0:03:20,eurrob1,0.30367815494537354
41,0:03:25,eurnut2,0.6199746131896973
42,0:03:30,eurnut2,0.9394095540046692
43,0:03:35,eurnut2,0.6401283740997314
44,0:03:40,eurnut2,0.5085868239402771
45,0:03:45,eurnut2,0.9762986302375793
46,0:03:50,eurnut2,0.9221656322479248
47,0:03:55,eurnut2,0.6151020526885986
48,0:04:00,comcha,0.28785470128059387
49,0:04:05,martit2,0.6496628522872925
50,0:04:10,gretit1,0.878087043762207
51,0:04:15,martit2,0.7368507981300354
52,0:04:20,martit2,0.9930181503295898
53,0:04:25,blutit,0.711509108543396
54,0:04:30,blutit,0.25581490993499756
55,0:04:35,gretit1,0.26725319027900696
56,0:04:40,blutit,0.4718983769416809
57,0:04:45,martit2,0.9912007451057434
58,0:04:50,gretit1,0.47485968470573425
59,0:04:55,blutit,0.21944604814052582
60,0:05:00,shttre1,0.25977978110313416
61,0:05:05,blutit,0.30125904083251953
62,0:05:10,eurrob1,0.48492372035980225
63,0:05:15,coatit2,0.300559937953949
64,0:05:20,eurrob1,0.3184017837047577
65,0:05:25,hawfin,0.3072073757648468
66,0:05:30,hawfin,0.2501523196697235
67,0:05:35,blutit,0.156476229429245
68,0:05:40,gretit1,0.7594165802001953
69,0:05:45,grswoo,0.40557754039764404
70,0:05:50,grswoo,0.3757033348083496
71,0:05:55,grswoo,0.8854660391807556
72,0:06:00,martit2,0.8179030418395996
73,0:06:05,grswoo,0.6367863416671753
74,0:06:10,grswoo,0.7541494965553284
75,0:06:15,grswoo,0.27234354615211487
76,0:06:20,grswoo,0.227778360247612
77,0:06:25,eurnut2,0.22942671179771423
78,0:06:30,redcro,0.44044122099876404
79,0:06:35,martit2,0.20865488052368164
80,0:06:40,grswoo,0.3636864125728607
81,0:06:45,grswoo,0.32441073656082153
82,0:06:50,miswoo1,0.9450858235359192
83,0:06:55,martit2,0.8805713653564453
84,0:07:00,gretit1,0.734305202960968
85,0:07:05,gretit1,0.6047643423080444
86,0:07:10,grswoo,0.8462840914726257
87,0:07:15,miswoo1,0.9554886817932129
88,0:07:20,miswoo1,0.9933865666389465
89,0:07:25,miswoo1,0.9741230607032776
90,0:07:30,martit2,0.9881792068481445
91,0:07:35,martit2,0.7313587069511414
92,0:07:40,martit2,0.9364614486694336
93,0:07:45,grswoo,0.3783192038536072
94,0:07:50,martit2,0.9878351092338562
95,0:07:55,gretit1,0.5818382501602173
96,0:08:00,gretit1,0.48443377017974854
97,0:08:05,martit2,0.9958601593971252
98,0:08:10,comcha,0.21996377408504486
99,0:08:15,martit2,0.9986140727996826
100,0:08:20,blutit,0.2756246328353882
101,0:08:25,eurrob1,0.27453696727752686
102,0:08:30,eurrob1,0.38066473603248596
103,0:08:35,eurrob1,0.8150140643119812
104,0:08:40,eurrob1,0.5599533319473267
105,0:08:45,eurrob1,0.6622912287712097
106,0:08:50,gretit1,0.5197211503982544
107,0:08:55,gretit1,0.964607834815979
108,0:09:00,gretit1,0.8353248834609985
109,0:09:05,gretit1,0.9427926540374756
110,0:09:10,eurtre1,0.4705451428890228
111,0:09:15,gretit1,0.34667590260505676
112,0:09:20,gretit1,0.239521324634552
113,0:09:25,martit2,0.9583401083946228
114,0:09:30,gretit1,0.11871828138828278
115,0:09:35,gretit1,0.07309746742248535
116,0:09:40,blutit,0.5755062103271484
117,0:09:45,blutit,0.2705904245376587
118,0:09:50,eurnut2,0.989218533039093
119,0:09:55,comcha,0.15538130700588226
120,0:10:00,gretit1,0.5067035555839539
121,0:10:05,lottit1,0.08685325086116791
122,0:10:10,gretit1,0.345020055770874
123,0:10:15,eurrob1,0.2945359945297241
124,0:10:20,eurtre1,0.2676773965358734
125,0:10:25,eurtre1,0.3218724727630615
126,0:10:30,eurtre1,0.5289838314056396
127,0:10:35,brncre,0.28961852192878723
128,0:10:40,brncre,0.13654743134975433
129,0:10:45,shttre1,0.16672444343566895
130,0:10:50,redwin,0.11425141990184784
131,0:10:55,loeowl,0.08878779411315918
132,0:11:00,lottit1,0.3215978741645813
133,0:11:05,eurrob1,0.24883481860160828
134,0:11:10,eurtre1,0.17390669882297516
135,0:11:15,sonthr1,0.07497038692235947
136,0:11:20,eurtre1,0.11887789517641068
137,0:11:25,gretit1,0.21947622299194336
138,0:11:30,goldcr1,0.12866421043872833
139,0:11:35,eurrob1,0.10048570483922958
140,0:11:40,blutit,0.2075619101524353
141,0:11:45,hawfin,0.09225190430879593
142,0:11:50,brncre,0.14470884203910828
143,0:11:55,eurnut2,0.18690310418605804
144,0:12:00,eurnut2,0.1064123585820198
145,0:12:05,grswoo,0.06985554099082947
146,0:12:10,blutit,0.12925954163074493
147,0:12:15,hawfin,0.6423578858375549
148,0:12:20,eurtre1,0.32379987835884094
149,0:12:25,brncre,0.20114775002002716
150,0:12:30,eurtre1,0.2785507142543793
151,0:12:35,lottit1,0.17570756375789642
152,0:12:40,shttre1,0.16861294209957123
153,0:12:45,eurrob1,0.2420845478773117
154,0:12:50,brncre,0.1396593451499939
155,0:12:55,eurrob1,0.12964759767055511
156,0:13:00,eurrob1,0.1800057291984558
157,0:13:05,eurrob1,0.3295580744743347
158,0:13:10,martit2,0.13340580463409424
159,0:13:15,grywag,0.49153977632522583
160,0:13:20,eurrob1,0.2123953253030777
161,0:13:25,martit2,0.9785866141319275
162,0:13:30,martit2,0.9918217062950134
163,0:13:35,martit2,0.9971567392349243
164,0:13:40,eurrob1,0.06310294568538666
165,0:13:45,blutit,0.19799081981182098
166,0:13:50,gretit1,0.18886499106884003
167,0:13:55,blutit,0.18084260821342468
168,0:14:00,blutit,0.1635788381099701
