frame,time,class,probability
0,0:00:00,tawowl1,0.05297677963972092
1,0:00:05,eurrob1,0.05646435171365738
2,0:00:10,crcwar,0.11238909512758255
3,0:00:15,tawowl1,0.056355785578489304
4,0:00:20,tawowl1,0.03756692260503769
5,0:00:25,blutit,0.14278395473957062
6,0:00:30,tawowl1,0.07225247472524643
7,0:00:35,tawowl1,0.0956173837184906
8,0:00:40,loeowl,0.06987860798835754
9,0:00:45,loeowl,0.05091423541307449
10,0:00:50,tawowl1,0.06501619517803192
11,0:00:55,tawowl1,0.054532602429389954
12,0:01:00,tawowl1,0.08523834496736526
13,0:01:05,tawowl1,0.09868704527616501
14,0:01:10,tawowl1,0.061081837862730026
15,0:01:15,blawoo1,0.1323065459728241
16,0:01:20,tawowl1,0.0400780588388443
17,0:01:25,loeowl,0.086469866335392
18,0:01:30,tawowl1,0.09323374927043915
19,0:01:35,tawowl1,0.0663076788187027
20,0:01:40,loeowl,0.16493181884288788
21,0:01:45,goldcr1,0.028692420572042465
22,0:01:50,tawowl1,0.07764367759227753
23,0:01:55,loeowl,0.04951161891222
24,0:02:00,eurnig1,0.04546654224395752
25,0:02:05,ortbun1,0.04697857052087784
26,0:02:10,tawowl1,0.12429812550544739
27,0:02:15,loeowl,0.08035147190093994
28,0:02:20,loeowl,0.08075354248285294
29,0:02:25,tawowl1,0.06118437647819519
30,0:02:30,bktgna,0.09999878704547882
31,0:02:35,blujay,0.14926350116729736
32,0:02:40,tawowl1,0.07375940680503845
33,0:02:45,comrav,0.10725449025630951
34,0:02:50,litbut1,0.04684361815452576
35,0:02:55,eueowl1,0.0463462769985199
36,0:03:00,whtspa,0.08659281581640244
37,0:03:05,hoopoe,0.046501122415065765
38,0:03:10,buggna,0.11887740343809128
39,0:03:15,tawowl1,0.19751769304275513
40,0:03:20,bkcgna,0.19682925939559937
41,0:03:25,loeowl,0.07449249178171158
42,0:03:30,brnowl,0.2267029583454132
43,0:03:35,tawowl1,0.08938907086849213
44,0:03:40,tawowl1,0.06144325062632561
45,0:03:45,tawowl1,0.05946847423911095
46,0:03:50,tawowl1,0.10462077707052231
47,0:03:55,tawowl1,0.06829702109098434
48,0:04:00,brnowl,0.07652107626199722
49,0:04:05,whtspa,0.036623962223529816
